date_key,full_date,day_of_week,day_name,day_of_month,day_of_year,month,month_name,quarter,year,is_weekend
2018-04-10,2018-04-10,1,Tuesday,10,100,4,April,2,2018,False
2018-02-08,2018-02-08,3,Thursday,8,39,2,February,1,2018,False
2018-07-12,2018-07-12,3,Thursday,12,193,7,July,3,2018,False
2018-02-11,2018-02-11,6,Sunday,11,42,2,February,1,2018,True
2018-03-17,2018-03-17,5,Saturday,17,76,3,March,1,2018,True
2018-05-07,2018-05-07,0,Monday,7,127,5,May,2,2018,False
2018-01-24,2018-01-24,2,Wednesday,24,24,1,January,1,2018,False
2018-06-09,2018-06-09,5,Saturday,9,160,6,June,2,2018,True
2017-11-11,2017-11-11,5,Saturday,11,315,11,November,4,2017,True
2018-06-28,2018-06-28,3,Thursday,28,179,6,June,2,2018,False
2017-11-13,2017-11-13,0,Monday,13,317,11,November,4,2017,False
2018-01-12,2018-01-12,4,Friday,12,12,1,January,1,2018,False
2017-07-24,2017-07-24,0,Monday,24,205,7,July,3,2017,False
2017-06-29,2017-06-29,3,Thursday,29,180,6,June,2,2017,False
2018-01-19,2018-01-19,4,Friday,19,19,1,January,1,2018,False
2018-03-27,2018-03-27,1,Tuesday,27,86,3,March,1,2018,False
2017-01-21,2017-01-21,5,Saturday,21,21,1,January,1,2017,True
2017-12-07,2017-12-07,3,Thursday,7,341,12,December,4,2017,False
2018-06-12,2018-06-12,1,Tuesday,12,163,6,June,2,2018,False
2018-07-03,2018-07-03,1,Tuesday,3,184,7,July,3,2018,False
2017-05-23,2017-05-23,1,Tuesday,23,143,5,May,2,2017,False
2018-01-14,2018-01-14,6,Sunday,14,14,1,January,1,2018,True
2017-08-23,2017-08-23,2,Wednesday,23,235,8,August,3,2017,False
2017-09-10,2017-09-10,6,Sunday,10,253,9,September,3,2017,True
2018-08-21,2018-08-21,1,Tuesday,21,233,8,August,3,2018,False
2018-05-27,2018-05-27,6,Sunday,27,147,5,May,2,2018,True
2017-05-20,2017-05-20,5,Saturday,20,140,5,May,2,2017,True
2016-10-05,2016-10-05,2,Wednesday,5,279,10,October,4,2016,False
2017-07-28,2017-07-28,4,Friday,28,209,7,July,3,2017,False
2017-12-05,2017-12-05,1,Tuesday,5,339,12,December,4,2017,False
2018-02-09,2018-02-09,4,Friday,9,40,2,February,1,2018,False
2018-08-02,2018-08-02,3,Thursday,2,214,8,August,3,2018,False
2018-01-05,2018-01-05,4,Friday,5,5,1,January,1,2018,False
2017-12-01,2017-12-01,4,Friday,1,335,12,December,4,2017,False
2017-05-26,2017-05-26,4,Friday,26,146,5,May,2,2017,False
2018-04-01,2018-04-01,6,Sunday,1,91,4,April,2,2018,True
2017-04-19,2017-04-19,2,Wednesday,19,109,4,April,2,2017,False
2017-08-17,2017-08-17,3,Thursday,17,229,8,August,3,2017,False
2018-08-16,2018-08-16,3,Thursday,16,228,8,August,3,2018,False
2018-07-01,2018-07-01,6,Sunday,1,182,7,July,3,2018,True
2018-08-24,2018-08-24,4,Friday,24,236,8,August,3,2018,False
2018-08-11,2018-08-11,5,Saturday,11,223,8,August,3,2018,True
2018-07-11,2018-07-11,2,Wednesday,11,192,7,July,3,2018,False
2018-07-31,2018-07-31,1,Tuesday,31,212,7,July,3,2018,False
2017-10-11,2017-10-11,2,Wednesday,11,284,10,October,4,2017,False
2017-11-25,2017-11-25,5,Saturday,25,329,11,November,4,2017,True
2017-05-08,2017-05-08,0,Monday,8,128,5,May,2,2017,False
2018-08-14,2018-08-14,1,Tuesday,14,226,8,August,3,2018,False
2017-12-19,2017-12-19,1,Tuesday,19,353,12,December,4,2017,False
2017-10-25,2017-10-25,2,Wednesday,25,298,10,October,4,2017,False
2017-10-24,2017-10-24,1,Tuesday,24,297,10,October,4,2017,False
2017-11-09,2017-11-09,3,Thursday,9,313,11,November,4,2017,False
2017-02-23,2017-02-23,3,Thursday,23,54,2,February,1,2017,False
2017-06-17,2017-06-17,5,Saturday,17,168,6,June,2,2017,True
2017-05-29,2017-05-29,0,Monday,29,149,5,May,2,2017,False
2018-05-24,2018-05-24,3,Thursday,24,144,5,May,2,2018,False
2018-01-29,2018-01-29,0,Monday,29,29,1,January,1,2018,False
2017-03-22,2017-03-22,2,Wednesday,22,81,3,March,1,2017,False
2017-11-06,2017-11-06,0,Monday,6,310,11,November,4,2017,False
2017-12-16,2017-12-16,5,Saturday,16,350,12,December,4,2017,True
2018-06-23,2018-06-23,5,Saturday,23,174,6,June,2,2018,True
2018-08-06,2018-08-06,0,Monday,6,218,8,August,3,2018,False
2017-06-02,2017-06-02,4,Friday,2,153,6,June,2,2017,False
2018-06-27,2018-06-27,2,Wednesday,27,178,6,June,2,2018,False
2017-04-14,2017-04-14,4,Friday,14,104,4,April,2,2017,False
2017-09-05,2017-09-05,1,Tuesday,5,248,9,September,3,2017,False
2017-11-19,2017-11-19,6,Sunday,19,323,11,November,4,2017,True
2017-05-10,2017-05-10,2,Wednesday,10,130,5,May,2,2017,False
2018-03-19,2018-03-19,0,Monday,19,78,3,March,1,2018,False
2018-03-04,2018-03-04,6,Sunday,4,63,3,March,1,2018,True
2018-08-12,2018-08-12,6,Sunday,12,224,8,August,3,2018,True
2017-10-18,2017-10-18,2,Wednesday,18,291,10,October,4,2017,False
2017-08-28,2017-08-28,0,Monday,28,240,8,August,3,2017,False
2017-05-11,2017-05-11,3,Thursday,11,131,5,May,2,2017,False
2017-12-27,2017-12-27,2,Wednesday,27,361,12,December,4,2017,False
2017-06-08,2017-06-08,3,Thursday,8,159,6,June,2,2017,False
2017-10-17,2017-10-17,1,Tuesday,17,290,10,October,4,2017,False
2017-09-08,2017-09-08,4,Friday,8,251,9,September,3,2017,False
2017-04-25,2017-04-25,1,Tuesday,25,115,4,April,2,2017,False
2018-03-08,2018-03-08,3,Thursday,8,67,3,March,1,2018,False
2017-10-06,2017-10-06,4,Friday,6,279,10,October,4,2017,False
2018-05-19,2018-05-19,5,Saturday,19,139,5,May,2,2018,True
2017-08-05,2017-08-05,5,Saturday,5,217,8,August,3,2017,True
2017-10-31,2017-10-31,1,Tuesday,31,304,10,October,4,2017,False
2018-06-19,2018-06-19,1,Tuesday,19,170,6,June,2,2018,False
2018-03-16,2018-03-16,4,Friday,16,75,3,March,1,2018,False
2017-10-12,2017-10-12,3,Thursday,12,285,10,October,4,2017,False
2017-04-29,2017-04-29,5,Saturday,29,119,4,April,2,2017,True
2017-10-09,2017-10-09,0,Monday,9,282,10,October,4,2017,False
2018-01-26,2018-01-26,4,Friday,26,26,1,January,1,2018,False
2017-01-27,2017-01-27,4,Friday,27,27,1,January,1,2017,False
2017-04-03,2017-04-03,0,Monday,3,93,4,April,2,2017,False
2017-09-14,2017-09-14,3,Thursday,14,257,9,September,3,2017,False
2017-02-17,2017-02-17,4,Friday,17,48,2,February,1,2017,False
2017-01-25,2017-01-25,2,Wednesday,25,25,1,January,1,2017,False
2018-06-15,2018-06-15,4,Friday,15,166,6,June,2,2018,False
2017-01-14,2017-01-14,5,Saturday,14,14,1,January,1,2017,True
2018-05-20,2018-05-20,6,Sunday,20,140,5,May,2,2018,True
2017-05-21,2017-05-21,6,Sunday,21,141,5,May,2,2017,True
2018-03-14,2018-03-14,2,Wednesday,14,73,3,March,1,2018,False
2018-01-17,2018-01-17,2,Wednesday,17,17,1,January,1,2018,False
2018-07-20,2018-07-20,4,Friday,20,201,7,July,3,2018,False
2017-12-14,2017-12-14,3,Thursday,14,348,12,December,4,2017,False
2018-04-02,2018-04-02,0,Monday,2,92,4,April,2,2018,False
2018-07-04,2018-07-04,2,Wednesday,4,185,7,July,3,2018,False
2017-04-13,2017-04-13,3,Thursday,13,103,4,April,2,2017,False
2018-04-30,2018-04-30,0,Monday,30,120,4,April,2,2018,False
2017-05-03,2017-05-03,2,Wednesday,3,123,5,May,2,2017,False
2017-11-20,2017-11-20,0,Monday,20,324,11,November,4,2017,False
2017-12-23,2017-12-23,5,Saturday,23,357,12,December,4,2017,True
2017-12-03,2017-12-03,6,Sunday,3,337,12,December,4,2017,True
2017-11-02,2017-11-02,3,Thursday,2,306,11,November,4,2017,False
2017-06-23,2017-06-23,4,Friday,23,174,6,June,2,2017,False
2018-05-10,2018-05-10,3,Thursday,10,130,5,May,2,2018,False
2017-02-13,2017-02-13,0,Monday,13,44,2,February,1,2017,False
2017-03-19,2017-03-19,6,Sunday,19,78,3,March,1,2017,True
2017-11-03,2017-11-03,4,Friday,3,307,11,November,4,2017,False
2018-05-06,2018-05-06,6,Sunday,6,126,5,May,2,2018,True
2018-05-03,2018-05-03,3,Thursday,3,123,5,May,2,2018,False
2018-01-01,2018-01-01,0,Monday,1,1,1,January,1,2018,False
