date_key,full_date,day_of_week,day_name,day_of_month,day_of_year,month,month_name,quarter,year,is_weekend
2017-04-04,2017-04-04,1,Tuesday,4,94,4,April,2,2017,False
2017-03-31,2017-03-31,4,Friday,31,90,3,March,1,2017,False
2018-04-20,2018-04-20,4,Friday,20,110,4,April,2,2018,False
2017-08-24,2017-08-24,3,Thursday,24,236,8,August,3,2017,False
2017-11-07,2017-11-07,1,Tuesday,7,311,11,November,4,2017,False
2017-10-13,2017-10-13,4,Friday,13,286,10,October,4,2017,False
2017-06-15,2017-06-15,3,Thursday,15,166,6,June,2,2017,False
2017-08-15,2017-08-15,1,Tuesday,15,227,8,August,3,2017,False
2018-03-02,2018-03-02,4,Friday,2,61,3,March,1,2018,False
2017-08-22,2017-08-22,1,Tuesday,22,234,8,August,3,2017,False
2017-08-06,2017-08-06,6,Sunday,6,218,8,August,3,2017,True
2018-08-17,2018-08-17,4,Friday,17,229,8,August,3,2018,False
2017-01-26,2017-01-26,3,Thursday,26,26,1,January,1,2017,False
2018-03-11,2018-03-11,6,Sunday,11,70,3,March,1,2018,True
2017-02-02,2017-02-02,3,Thursday,2,33,2,February,1,2017,False
2018-03-25,2018-03-25,6,Sunday,25,84,3,March,1,2018,True
2017-07-20,2017-07-20,3,Thursday,20,201,7,July,3,2017,False
2017-06-18,2017-06-18,6,Sunday,18,169,6,June,2,2017,True
2017-02-22,2017-02-22,2,Wednesday,22,53,2,February,1,2017,False
2017-03-12,2017-03-12,6,Sunday,12,71,3,March,1,2017,True
2018-04-29,2018-04-29,6,Sunday,29,119,4,April,2,2018,True
2018-02-26,2018-02-26,0,Monday,26,57,2,February,1,2018,False
2017-08-21,2017-08-21,0,Monday,21,233,8,August,3,2017,False
2017-09-25,2017-09-25,0,Monday,25,268,9,September,3,2017,False
2017-09-04,2017-09-04,0,Monday,4,247,9,September,3,2017,False
2017-05-22,2017-05-22,0,Monday,22,142,5,May,2,2017,False
2017-10-08,2017-10-08,6,Sunday,8,281,10,October,4,2017,True
2017-07-15,2017-07-15,5,Saturday,15,196,7,July,3,2017,True
2017-10-15,2017-10-15,6,Sunday,15,288,10,October,4,2017,True
2018-03-20,2018-03-20,1,Tuesday,20,79,3,March,1,2018,False
2017-10-07,2017-10-07,5,Saturday,7,280,10,October,4,2017,True
2017-09-09,2017-09-09,5,Saturday,9,252,9,September,3,2017,True
2017-05-24,2017-05-24,2,Wednesday,24,144,5,May,2,2017,False
2017-03-21,2017-03-21,1,Tuesday,21,80,3,March,1,2017,False
2017-01-31,2017-01-31,1,Tuesday,31,31,1,January,1,2017,False
2018-08-28,2018-08-28,1,Tuesday,28,240,8,August,3,2018,False
2017-11-10,2017-11-10,4,Friday,10,314,11,November,4,2017,False
2017-05-27,2017-05-27,5,Saturday,27,147,5,May,2,2017,True
2018-08-13,2018-08-13,0,Monday,13,225,8,August,3,2018,False
2017-10-23,2017-10-23,0,Monday,23,296,10,October,4,2017,False
2017-10-20,2017-10-20,4,Friday,20,293,10,October,4,2017,False
2018-08-23,2018-08-23,3,Thursday,23,235,8,August,3,2018,False
2017-08-30,2017-08-30,2,Wednesday,30,242,8,August,3,2017,False
2017-08-27,2017-08-27,6,Sunday,27,239,8,August,3,2017,True
2017-04-08,2017-04-08,5,Saturday,8,98,4,April,2,2017,True
2017-02-18,2017-02-18,5,Saturday,18,49,2,February,1,2017,True
2018-03-28,2018-03-28,2,Wednesday,28,87,3,March,1,2018,False
2017-02-24,2017-02-24,4,Friday,24,55,2,February,1,2017,False
2017-06-11,2017-06-11,6,Sunday,11,162,6,June,2,2017,True
2017-07-06,2017-07-06,3,Thursday,6,187,7,July,3,2017,False
2018-06-02,2018-06-02,5,Saturday,2,153,6,June,2,2018,True
2017-09-01,2017-09-01,4,Friday,1,244,9,September,3,2017,False
2018-07-19,2018-07-19,3,Thursday,19,200,7,July,3,2018,False
2017-03-03,2017-03-03,4,Friday,3,62,3,March,1,2017,False
2018-03-05,2018-03-05,0,Monday,5,64,3,March,1,2018,False
2018-04-27,2018-04-27,4,Friday,27,117,4,April,2,2018,False
2017-01-19,2017-01-19,3,Thursday,19,19,1,January,1,2017,False
2017-07-21,2017-07-21,4,Friday,21,202,7,July,3,2017,False
2017-06-14,2017-06-14,2,Wednesday,14,165,6,June,2,2017,False
2017-05-01,2017-05-01,0,Monday,1,121,5,May,2,2017,False
2017-04-28,2017-04-28,4,Friday,28,118,4,April,2,2017,False
2017-09-22,2017-09-22,4,Friday,22,265,9,September,3,2017,False
2017-05-13,2017-05-13,5,Saturday,13,133,5,May,2,2017,True
2017-04-09,2017-04-09,6,Sunday,9,99,4,April,2,2017,True
2018-01-20,2018-01-20,5,Saturday,20,20,1,January,1,2018,True
2018-07-14,2018-07-14,5,Saturday,14,195,7,July,3,2018,True
2018-06-29,2018-06-29,4,Friday,29,180,6,June,2,2018,False
2017-06-07,2017-06-07,2,Wednesday,7,158,6,June,2,2017,False
2017-08-08,2017-08-08,1,Tuesday,8,220,8,August,3,2017,False
2017-10-30,2017-10-30,0,Monday,30,303,10,October,4,2017,False
2017-08-13,2017-08-13,6,Sunday,13,225,8,August,3,2017,True
2018-04-21,2018-04-21,5,Saturday,21,111,4,April,2,2018,True
2017-09-28,2017-09-28,3,Thursday,28,271,9,September,3,2017,False
2017-09-23,2017-09-23,5,Saturday,23,266,9,September,3,2017,True
2016-10-04,2016-10-04,1,Tuesday,4,278,10,October,4,2016,False
2017-02-28,2017-02-28,1,Tuesday,28,59,2,February,1,2017,False
2017-02-04,2017-02-04,5,Saturday,4,35,2,February,1,2017,True
2017-12-18,2017-12-18,0,Monday,18,352,12,December,4,2017,False
2017-10-14,2017-10-14,5,Saturday,14,287,10,October,4,2017,True
2017-04-10,2017-04-10,0,Monday,10,100,4,April,2,2017,False
2017-06-30,2017-06-30,4,Friday,30,181,6,June,2,2017,False
2016-10-07,2016-10-07,4,Friday,7,281,10,October,4,2016,False
2017-11-12,2017-11-12,6,Sunday,12,316,11,November,4,2017,True
2017-07-18,2017-07-18,1,Tuesday,18,199,7,July,3,2017,False
2017-11-01,2017-11-01,2,Wednesday,1,305,11,November,4,2017,False
2017-04-07,2017-04-07,4,Friday,7,97,4,April,2,2017,False
2018-06-17,2018-06-17,6,Sunday,17,168,6,June,2,2018,True
2017-08-18,2017-08-18,4,Friday,18,230,8,August,3,2017,False
2017-08-29,2017-08-29,1,Tuesday,29,241,8,August,3,2017,False
2017-06-12,2017-06-12,0,Monday,12,163,6,June,2,2017,False
2017-08-25,2017-08-25,4,Friday,25,237,8,August,3,2017,False
2018-04-07,2018-04-07,5,Saturday,7,97,4,April,2,2018,True
2017-02-16,2017-02-16,3,Thursday,16,47,2,February,1,2017,False
2017-03-11,2017-03-11,5,Saturday,11,70,3,March,1,2017,True
2017-05-28,2017-05-28,6,Sunday,28,148,5,May,2,2017,True
2017-06-01,2017-06-01,3,Thursday,1,152,6,June,2,2017,False
2017-01-15,2017-01-15,6,Sunday,15,15,1,January,1,2017,True
2017-07-25,2017-07-25,1,Tuesday,25,206,7,July,3,2017,False
2017-01-12,2017-01-12,3,Thursday,12,12,1,January,1,2017,False
2017-03-26,2017-03-26,6,Sunday,26,85,3,March,1,2017,True
2018-09-20,2018-09-20,3,Thursday,20,263,9,September,3,2018,False
2018-05-22,2018-05-22,1,Tuesday,22,142,5,May,2,2018,False
2017-01-30,2017-01-30,0,Monday,30,30,1,January,1,2017,False
2018-05-29,2018-05-29,1,Tuesday,29,149,5,May,2,2018,False
2017-09-30,2017-09-30,5,Saturday,30,273,9,September,3,2017,True
2017-01-29,2017-01-29,6,Sunday,29,29,1,January,1,2017,True
2017-02-27,2017-02-27,0,Monday,27,58,2,February,1,2017,False
2017-12-29,2017-12-29,4,Friday,29,363,12,December,4,2017,False
2017-01-17,2017-01-17,1,Tuesday,17,17,1,January,1,2017,False
2018-08-29,2018-08-29,2,Wednesday,29,241,8,August,3,2018,False
2017-06-22,2017-06-22,3,Thursday,22,173,6,June,2,2017,False
2017-06-09,2017-06-09,4,Friday,9,160,6,June,2,2017,False
2017-09-24,2017-09-24,6,Sunday,24,267,9,September,3,2017,True
2017-06-28,2017-06-28,2,Wednesday,28,179,6,June,2,2017,False
2017-02-03,2017-02-03,4,Friday,3,34,2,February,1,2017,False
2017-10-21,2017-10-21,5,Saturday,21,294,10,October,4,2017,True
2017-08-19,2017-08-19,5,Saturday,19,231,8,August,3,2017,True
2017-10-03,2017-10-03,1,Tuesday,3,276,10,October,4,2017,False
2018-08-18,2018-08-18,5,Saturday,18,230,8,August,3,2018,True
2017-12-13,2017-12-13,2,Wednesday,13,347,12,December,4,2017,False
2017-08-12,2017-08-12,5,Saturday,12,224,8,August,3,2017,True
2018-07-09,2018-07-09,0,Monday,9,190,7,July,3,2018,False
2017-09-07,2017-09-07,3,Thursday,7,250,9,September,3,2017,False
2018-03-22,2018-03-22,3,Thursday,22,81,3,March,1,2018,False
2017-04-21,2017-04-21,4,Friday,21,111,4,April,2,2017,False
2017-09-02,2017-09-02,5,Saturday,2,245,9,September,3,2017,True
2017-06-03,2017-06-03,5,Saturday,3,154,6,June,2,2017,True
2017-03-16,2017-03-16,3,Thursday,16,75,3,March,1,2017,False
2018-07-07,2018-07-07,5,Saturday,7,188,7,July,3,2018,True
2017-04-17,2017-04-17,0,Monday,17,107,4,April,2,2017,False
2017-06-21,2017-06-21,2,Wednesday,21,172,6,June,2,2017,False
2018-07-10,2018-07-10,1,Tuesday,10,191,7,July,3,2018,False
2017-05-30,2017-05-30,1,Tuesday,30,150,5,May,2,2017,False
2017-03-20,2017-03-20,0,Monday,20,79,3,March,1,2017,False
2017-02-21,2017-02-21,1,Tuesday,21,52,2,February,1,2017,False
2017-01-24,2017-01-24,1,Tuesday,24,24,1,January,1,2017,False
2018-03-13,2018-03-13,1,Tuesday,13,72,3,March,1,2018,False
2017-08-07,2017-08-07,0,Monday,7,219,8,August,3,2017,False
2017-02-09,2017-02-09,3,Thursday,9,40,2,February,1,2017,False
2017-03-02,2017-03-02,3,Thursday,2,61,3,March,1,2017,False
2017-02-15,2017-02-15,2,Wednesday,15,46,2,February,1,2017,False
2017-11-05,2017-11-05,6,Sunday,5,309,11,November,4,2017,True
2017-01-13,2017-01-13,4,Friday,13,13,1,January,1,2017,False
2017-02-05,2017-02-05,6,Sunday,5,36,2,February,1,2017,True
2018-07-08,2018-07-08,6,Sunday,8,189,7,July,3,2018,True
2017-03-18,2017-03-18,5,Saturday,18,77,3,March,1,2017,True
2017-12-30,2017-12-30,5,Saturday,30,364,12,December,4,2017,True
2017-02-01,2017-02-01,2,Wednesday,1,32,2,February,1,2017,False
2017-12-31,2017-12-31,6,Sunday,31,365,12,December,4,2017,True
2017-05-04,2017-05-04,3,Thursday,4,124,5,May,2,2017,False
2017-01-16,2017-01-16,0,Monday,16,16,1,January,1,2017,False
2017-07-07,2017-07-07,4,Friday,7,188,7,July,3,2017,False
2017-10-10,2017-10-10,1,Tuesday,10,283,10,October,4,2017,False
2017-04-02,2017-04-02,6,Sunday,2,92,4,April,2,2017,True
2017-11-04,2017-11-04,5,Saturday,4,308,11,November,4,2017,True
2017-03-17,2017-03-17,4,Friday,17,76,3,March,1,2017,False
2017-04-05,2017-04-05,2,Wednesday,5,95,4,April,2,2017,False
2016-09-05,2016-09-05,0,Monday,5,249,9,September,3,2016,False
2016-09-04,2016-09-04,6,Sunday,4,248,9,September,3,2016,True
2016-10-10,2016-10-10,0,Monday,10,284,10,October,4,2016,False
2017-04-23,2017-04-23,6,Sunday,23,113,4,April,2,2017,True
2018-09-13,2018-09-13,3,Thursday,13,256,9,September,3,2018,False
2016-10-06,2016-10-06,3,Thursday,6,280,10,October,4,2016,False
2017-02-14,2017-02-14,1,Tuesday,14,45,2,February,1,2017,False
2017-04-01,2017-04-01,5,Saturday,1,91,4,April,2,2017,True
2016-10-08,2016-10-08,5,Saturday,8,282,10,October,4,2016,True
2017-02-19,2017-02-19,6,Sunday,19,50,2,February,1,2017,True
2017-01-18,2017-01-18,2,Wednesday,18,18,1,January,1,2017,False
2016-10-03,2016-10-03,0,Monday,3,277,10,October,4,2016,False
2017-04-16,2017-04-16,6,Sunday,16,106,4,April,2,2017,True
2016-10-09,2016-10-09,6,Sunday,9,283,10,October,4,2016,True
2017-01-20,2017-01-20,4,Friday,20,20,1,January,1,2017,False
2017-01-11,2017-01-11,2,Wednesday,11,11,1,January,1,2017,False
2018-09-11,2018-09-11,1,Tuesday,11,254,9,September,3,2018,False
2016-09-13,2016-09-13,1,Tuesday,13,257,9,September,3,2016,False
2017-01-07,2017-01-07,5,Saturday,7,7,1,January,1,2017,True
2017-01-08,2017-01-08,6,Sunday,8,8,1,January,1,2017,True
2018-09-17,2018-09-17,0,Monday,17,260,9,September,3,2018,False
2018-08-30,2018-08-30,3,Thursday,30,242,8,August,3,2018,False
2018-09-06,2018-09-06,3,Thursday,6,249,9,September,3,2018,False
2017-01-06,2017-01-06,4,Friday,6,6,1,January,1,2017,False
2018-09-03,2018-09-03,0,Monday,3,246,9,September,3,2018,False
2016-09-15,2016-09-15,3,Thursday,15,259,9,September,3,2016,False
2018-09-10,2018-09-10,0,Monday,10,253,9,September,3,2018,False
2018-10-03,2018-10-03,2,Wednesday,3,276,10,October,4,2018,False
2017-01-10,2017-01-10,1,Tuesday,10,10,1,January,1,2017,False
2018-09-25,2018-09-25,1,Tuesday,25,268,9,September,3,2018,False
2018-09-26,2018-09-26,2,Wednesday,26,269,9,September,3,2018,False
2016-12-23,2016-12-23,4,Friday,23,358,12,December,4,2016,False
2017-01-09,2017-01-09,0,Monday,9,9,1,January,1,2017,False
2018-09-29,2018-09-29,5,Saturday,29,272,9,September,3,2018,True
2016-10-22,2016-10-22,5,Saturday,22,296,10,October,4,2016,True
2018-10-17,2018-10-17,2,Wednesday,17,290,10,October,4,2018,False
2018-10-16,2018-10-16,1,Tuesday,16,289,10,October,4,2018,False
2018-09-12,2018-09-12,2,Wednesday,12,255,9,September,3,2018,False
2016-10-02,2016-10-02,6,Sunday,2,276,10,October,4,2016,True
2018-10-01,2018-10-01,0,Monday,1,274,10,October,4,2018,False
2018-08-31,2018-08-31,4,Friday,31,243,8,August,3,2018,False
